District,Month,Rainfall (mm),Temperature (°C),Humidity (%),Year
Medak,May,28.2,27.6,23.0,2020
Karimnagar,June,119.45,37.1,64.0,2021
Nirmal,July,190.98,23.4,51.0,2018
Nagarkurnool,December,4.53,44.3,41.0,2019
Yadadri Bhuvanagiri,April,19.6,38.3,87.0,2022
Yadadri Bhuvanagiri,May,28.43,33.6,85.0,2024
Mulugu,May,30.66,26.2,76.0,2025
Karimnagar,October,90.76,19.4,48.0,2016
Kumurambheem Asifabad,March,10.6,28.4,29.0,2022
Vikarabad,December,3.41,15.3,70.0,2018
Yadadri Bhuvanagiri,April,20.22,42.7,47.0,2019
Vikarabad,March,10.85,20.3,64.0,2017
Mancherial,October,94.85,24.9,28.0,2024
Nalgonda,March,16.01,37.1,53.0,2023
Jogulamba Gadwal,March,13.72,19.7,48.0,2022
Mulugu,April,17.6,29.0,31.0,2017
Jogulamba Gadwal,March,14.27,39.6,92.0,2021
Wanaparthy,March,14.19,28.1,40.0,2022
Hyderabad,February,6.56,30.9,45.0,2022
Nagarkurnool,June,116.63,25.1,29.0,2021
Nagarkurnool,March,16.55,18.8,78.0,2020
Jagtial,January,8.72,42.0,32.0,2020
Peddapalli,December,8.58,18.3,69.0,2021
Wanaparthy,March,16.8,21.9,83.0,2019
Nirmal,December,7.23,40.2,94.0,2022
Jagtial,January,6.93,41.9,41.0,2020
Rajanna Sircilla,May,34.57,17.5,34.0,2024
Nirmal,November,16.66,18.7,45.0,2017
Mancherial,February,8.36,40.9,78.0,2022
Mahabubabad,March,13.27,30.2,32.0,2019
Vikarabad,January,8.33,24.5,54.0,2024
Peddapalli,August,193.83,17.3,60.0,2023
Rangareddy,September,134.57,38.0,84.0,2015
Yadadri Bhuvanagiri,July,193.4,36.5,39.0,2021
Hanamkonda,April,19.16,26.2,40.0,2019
Sangareddy,November,20.17,19.0,32.0,2018
Jogulamba Gadwal,October,89.13,17.5,100.0,2016
Peddapalli,November,14.05,40.1,32.0,2021
Siddipet,November,21.76,40.5,34.0,2025
Khammam,February,5.55,17.6,31.0,2025
Kumurambheem Asifabad,August,191.18,34.1,20.0,2019
Suryapet,April,16.45,33.2,70.0,2016
Vikarabad,April,17.88,24.5,76.0,2018
Nalgonda,July,192.47,32.8,76.0,2024
Hanamkonda,March,16.38,34.6,56.0,2018
Karimnagar,February,12.9,39.4,32.0,2022
Nalgonda,June,119.27,40.6,74.0,2017
Peddapalli,December,5.92,24.2,83.0,2021
Mahabubabad,March,13.17,25.2,84.0,2025
Rajanna Sircilla,October,91.15,26.7,86.0,2017
Nirmal,February,7.07,38.6,80.0,2016
Wanaparthy,January,7.16,25.4,82.0,2015
Nagarkurnool,July,191.1,31.9,82.0,2018
Khammam,January,5.78,18.0,64.0,2015
Siddipet,September,135.88,21.6,35.0,2019
Jagtial,October,93.76,36.2,84.0,2022
Jagtial,November,21.74,21.4,29.0,2015
Medak,October,91.0,23.9,48.0,2024
Siddipet,March,15.28,42.0,57.0,2017
Jagtial,June,118.79,35.9,47.0,2024
Nizamabad,August,190.45,24.0,65.0,2016
Sangareddy,January,10.66,22.2,23.0,2016
Jogulamba Gadwal,November,18.38,24.7,47.0,2023
Siddipet,May,33.42,33.3,20.0,2023
Mahabubnagar,September,134.05,38.0,31.0,2022
Mulugu,August,190.05,27.0,25.0,2020
Peddapalli,September,136.01,18.4,47.0,2021
Nalgonda,January,6.84,19.4,38.0,2025
Khammam,September,136.02,29.7,49.0,2022
Peddapalli,April,18.32,27.3,92.0,2018
Suryapet,March,11.35,42.2,67.0,2020
Hanamkonda,August,188.22,26.6,88.0,2023
Hyderabad,January,8.22,29.1,47.0,2015
Peddapalli,November,20.36,40.8,53.0,2017
Yadadri Bhuvanagiri,June,119.13,42.5,29.0,2017
Rangareddy,September,137.99,23.8,82.0,2020
Yadadri Bhuvanagiri,May,29.47,16.8,35.0,2017
Suryapet,February,7.35,25.6,54.0,2020
Karimnagar,August,190.78,37.7,91.0,2022
Mancherial,February,8.05,27.8,86.0,2024
Siddipet,July,191.92,44.5,56.0,2021
Rajanna Sircilla,October,92.87,36.4,89.0,2021
Jogulamba Gadwal,February,2.71,41.9,61.0,2017
Vikarabad,January,10.69,20.7,84.0,2017
Hyderabad,June,119.24,17.2,88.0,2015
Jagtial,August,188.7,23.4,53.0,2023
Nalgonda,May,29.23,31.0,73.0,2021
Nagarkurnool,October,89.62,18.7,50.0,2024
Mahabubnagar,December,5.8,34.2,35.0,2015
Vikarabad,March,13.4,16.8,85.0,2017
Nizamabad,December,3.74,32.5,27.0,2016
Mahabubnagar,March,10.95,40.5,56.0,2023
Rajanna Sircilla,November,18.71,43.1,75.0,2016
Rajanna Sircilla,January,9.43,33.7,77.0,2023
Adilabad,April,18.85,26.0,72.0,2020
Yadadri Bhuvanagiri,May,32.25,34.3,29.0,2023
Nalgonda,December,4.68,26.9,50.0,2023
Jagtial,September,137.63,17.5,77.0,2020
Rajanna Sircilla,February,11.13,30.8,35.0,2024
Karimnagar,April,20.34,41.9,64.0,2016
Yadadri Bhuvanagiri,April,16.43,19.1,77.0,2024
Jogulamba Gadwal,September,137.15,29.1,34.0,2017
Wanaparthy,September,138.56,32.8,63.0,2023
Siddipet,June,118.11,37.6,80.0,2015
Mulugu,September,136.72,18.0,96.0,2021
Sangareddy,August,189.08,40.5,70.0,2015
Rajanna Sircilla,October,89.89,40.0,95.0,2024
Jagtial,April,14.76,20.7,34.0,2016
Khammam,June,124.8,19.7,64.0,2017
Kamareddy,March,14.15,24.4,23.0,2020
Rangareddy,March,14.85,21.0,22.0,2018
Karimnagar,October,88.67,43.7,76.0,2019
Mulugu,November,19.89,26.4,77.0,2023
Mahabubabad,January,6.55,28.8,58.0,2016
Yadadri Bhuvanagiri,July,194.37,23.8,46.0,2015
Hyderabad,February,4.63,19.7,62.0,2023
Mahabubnagar,April,17.86,22.5,61.0,2023
Karimnagar,April,17.77,23.9,86.0,2018
Rajanna Sircilla,May,32.61,41.1,32.0,2022
Jogulamba Gadwal,August,188.49,30.2,35.0,2019
Sangareddy,April,17.23,29.5,96.0,2019
Rangareddy,April,16.05,33.7,67.0,2017
Wanaparthy,April,16.24,25.3,68.0,2015
Mahabubabad,June,115.16,16.8,73.0,2022
Sangareddy,January,9.51,26.0,94.0,2022
Suryapet,October,95.74,36.5,87.0,2023
Hanamkonda,October,95.1,17.3,69.0,2021
Nirmal,October,90.96,41.3,79.0,2025
Nirmal,September,137.6,39.3,47.0,2025
Nagarkurnool,January,13.09,42.1,27.0,2020
Khammam,January,11.49,23.6,65.0,2019
Wanaparthy,October,91.66,38.5,82.0,2019
Nirmal,June,120.48,32.1,60.0,2018
Medak,March,11.99,23.2,46.0,2016
Hyderabad,April,17.09,26.1,100.0,2018
Siddipet,August,191.37,37.3,39.0,2025
Sangareddy,February,6.78,39.1,43.0,2020
Hanamkonda,October,89.56,34.7,100.0,2025
Adilabad,March,13.92,32.6,59.0,2020
Sangareddy,November,15.82,32.0,49.0,2017
Yadadri Bhuvanagiri,December,7.06,18.3,64.0,2025
Nizamabad,March,14.44,20.0,56.0,2022
Nizamabad,September,140.02,25.5,80.0,2019
Mulugu,June,120.32,34.6,45.0,2024
Nizamabad,December,6.69,29.5,71.0,2017
Jogulamba Gadwal,May,28.58,16.2,51.0,2021
Nagarkurnool,September,139.44,22.5,44.0,2016
Wanaparthy,April,16.85,29.1,20.0,2021
Kamareddy,August,190.46,28.7,49.0,2024
Rajanna Sircilla,April,19.6,30.9,22.0,2017
Nizamabad,July,190.85,32.1,71.0,2018
Rajanna Sircilla,June,119.96,30.6,97.0,2023
Wanaparthy,September,134.81,33.7,71.0,2019
Hyderabad,October,89.4,37.5,42.0,2023
Medak,July,191.25,23.9,70.0,2018
Jagtial,April,18.68,40.7,92.0,2019
Kumurambheem Asifabad,November,17.91,18.5,27.0,2017
Nagarkurnool,July,193.14,30.9,91.0,2015
Mahabubnagar,November,21.31,21.2,38.0,2017
Vikarabad,May,29.55,22.3,63.0,2015
Mahabubabad,January,9.36,40.9,85.0,2022
Vikarabad,July,192.99,29.9,73.0,2024
Rangareddy,March,16.84,42.2,83.0,2018
Kumurambheem Asifabad,January,7.56,32.0,65.0,2018
Vikarabad,August,191.12,44.2,73.0,2025
Wanaparthy,July,194.38,41.6,55.0,2017
Wanaparthy,October,90.14,23.9,92.0,2016
Nalgonda,July,191.67,39.8,59.0,2016
Nalgonda,March,14.32,33.3,46.0,2016
Nizamabad,November,20.25,35.6,96.0,2020
Nagarkurnool,August,193.14,32.5,88.0,2020
Kumurambheem Asifabad,November,16.99,42.2,47.0,2024
Sangareddy,September,139.24,22.0,71.0,2024
Vikarabad,March,11.65,27.9,27.0,2021
Suryapet,August,190.45,42.6,98.0,2025
Suryapet,June,120.88,25.9,21.0,2025
Suryapet,March,14.31,31.1,72.0,2017
Karimnagar,October,88.64,35.1,92.0,2016
Rangareddy,November,20.24,17.0,87.0,2021
Nalgonda,May,28.85,33.6,38.0,2016
Wanaparthy,July,192.48,22.2,29.0,2022
Sangareddy,February,4.01,34.4,26.0,2018
Karimnagar,April,15.25,22.9,59.0,2020
Mahabubabad,November,18.29,21.9,52.0,2020
Nirmal,December,6.28,22.0,27.0,2020
Nalgonda,September,139.59,17.8,78.0,2018
Rajanna Sircilla,May,30.19,42.5,85.0,2016
Medak,February,7.31,44.0,40.0,2018
Nizamabad,March,14.57,27.4,21.0,2020
Nirmal,January,5.79,23.6,100.0,2015
Khammam,April,19.26,23.1,53.0,2021
Mahabubabad,August,191.77,24.9,80.0,2019
Rangareddy,October,90.19,41.0,75.0,2016
Sangareddy,September,137.99,39.0,30.0,2023
Jagtial,February,6.53,35.1,99.0,2015
Hyderabad,August,193.03,41.0,91.0,2022
Rangareddy,January,8.09,41.6,80.0,2021
Siddipet,February,6.8,42.4,36.0,2019
Karimnagar,September,136.57,22.0,32.0,2025
Nirmal,February,6.6,35.4,100.0,2025
Vikarabad,August,191.47,35.7,93.0,2022
Nagarkurnool,January,10.69,26.9,28.0,2022
Sangareddy,July,191.51,28.2,48.0,2023
Yadadri Bhuvanagiri,November,15.17,38.1,72.0,2024
Rajanna Sircilla,October,94.06,37.2,81.0,2024
Nagarkurnool,April,16.68,41.6,70.0,2018
Rajanna Sircilla,December,5.28,33.2,50.0,2016
Mahabubnagar,April,20.05,23.8,85.0,2019
Nalgonda,July,187.31,18.0,50.0,2018
Siddipet,August,191.58,21.8,29.0,2021
Mahabubabad,August,193.39,36.3,61.0,2016
Jogulamba Gadwal,April,14.54,20.7,70.0,2018
Nagarkurnool,April,19.4,39.6,59.0,2019
Hyderabad,April,20.51,27.7,62.0,2019
Mahabubabad,March,16.15,18.3,94.0,2019
Kamareddy,November,18.95,39.3,72.0,2018
Mulugu,December,4.3,39.9,63.0,2016
Peddapalli,March,17.03,22.0,57.0,2025
Karimnagar,February,11.0,21.8,70.0,2025
Nizamabad,February,4.55,39.1,99.0,2024
Sangareddy,December,3.35,21.3,96.0,2019
Nalgonda,August,191.54,19.5,86.0,2015
Suryapet,November,18.92,20.4,52.0,2017
Kamareddy,July,191.06,16.4,23.0,2024
Karimnagar,December,4.44,23.6,48.0,2018
Mancherial,May,31.45,18.2,24.0,2025
Vikarabad,November,19.62,42.6,76.0,2017
Nirmal,October,89.79,30.0,75.0,2021
Yadadri Bhuvanagiri,July,190.33,23.7,53.0,2021
Kumurambheem Asifabad,April,19.01,30.9,48.0,2021
Khammam,April,17.16,27.2,54.0,2021
Rangareddy,November,18.94,30.2,78.0,2022
Adilabad,December,6.61,30.7,59.0,2019
Kumurambheem Asifabad,November,18.7,17.9,57.0,2024
Jogulamba Gadwal,September,135.46,18.0,36.0,2021
Mancherial,June,115.48,19.5,46.0,2016
Jogulamba Gadwal,May,29.02,37.6,45.0,2017
Nagarkurnool,March,10.67,43.5,34.0,2019
Adilabad,October,90.23,19.9,52.0,2015
Nagarkurnool,May,32.62,32.3,21.0,2019
Siddipet,May,28.7,42.3,30.0,2022
Siddipet,March,11.96,42.2,57.0,2016
Sangareddy,February,4.97,34.4,31.0,2021
Peddapalli,June,116.05,15.4,86.0,2020
Nirmal,March,14.35,43.9,75.0,2021
Mulugu,August,189.69,39.2,40.0,2019
Hyderabad,September,138.99,41.1,52.0,2020
Jogulamba Gadwal,January,15.62,30.6,83.0,2020
Mulugu,January,8.44,24.6,99.0,2022
Kumurambheem Asifabad,June,121.09,30.5,76.0,2021
Rangareddy,January,7.14,27.3,55.0,2016
Nirmal,June,118.48,43.9,82.0,2024
Kumurambheem Asifabad,August,190.47,18.1,45.0,2024
Hyderabad,March,13.76,28.2,45.0,2022
Khammam,July,193.45,20.1,90.0,2019
Nagarkurnool,August,192.12,39.1,22.0,2020
Nagarkurnool,February,8.93,33.1,65.0,2024
Adilabad,November,17.4,41.2,62.0,2021
Sangareddy,December,6.52,35.9,34.0,2023
Karimnagar,January,7.94,35.3,85.0,2015
Jagtial,November,16.74,15.5,22.0,2023
Khammam,April,17.52,34.2,46.0,2016
Mancherial,December,6.27,24.8,99.0,2017
Kamareddy,August,191.54,16.3,62.0,2022
Mahabubnagar,January,9.63,44.8,97.0,2015
Peddapalli,December,6.29,37.9,60.0,2025
Kumurambheem Asifabad,July,192.85,40.2,56.0,2015
Nalgonda,December,9.2,30.5,41.0,2016
Vikarabad,July,195.76,34.7,23.0,2022
Kumurambheem Asifabad,October,89.11,39.7,66.0,2023
Rajanna Sircilla,April,18.27,37.9,38.0,2018
Mahabubabad,February,10.19,42.9,53.0,2015
Karimnagar,November,17.59,17.2,71.0,2025
Nalgonda,September,136.76,39.4,52.0,2017
Medak,October,92.75,28.5,57.0,2016
Nagarkurnool,March,13.54,42.6,24.0,2024
Nizamabad,September,136.45,32.7,41.0,2023
Nalgonda,March,15.21,32.1,62.0,2024
Jagtial,May,28.03,33.8,54.0,2022
Kamareddy,November,20.78,40.0,45.0,2022
Mahabubabad,January,7.46,32.5,72.0,2022
Vikarabad,March,15.72,22.2,28.0,2015
Yadadri Bhuvanagiri,July,190.26,32.9,69.0,2024
Medak,January,5.21,27.2,34.0,2021
Jogulamba Gadwal,November,19.83,33.2,51.0,2015
Medak,May,27.17,38.1,90.0,2021
Mahabubabad,January,9.28,29.2,59.0,2022
Jagtial,October,91.74,27.2,37.0,2015
Jagtial,May,30.29,43.2,38.0,2019
Nizamabad,July,193.57,35.8,84.0,2017
Mahabubabad,July,193.34,39.5,21.0,2016
Jagtial,April,21.02,21.0,52.0,2017
Vikarabad,September,137.22,24.9,81.0,2019
Kumurambheem Asifabad,June,119.84,35.9,49.0,2019
Mahabubnagar,September,137.75,44.1,91.0,2024
Mancherial,December,7.46,40.8,39.0,2018
Sangareddy,July,192.64,30.3,32.0,2016
Kumurambheem Asifabad,August,193.91,41.7,76.0,2017
Rajanna Sircilla,October,87.94,33.6,99.0,2024
Rajanna Sircilla,October,90.37,29.8,98.0,2020
Mahabubabad,November,16.62,29.2,74.0,2015
Kamareddy,August,188.5,32.5,58.0,2025
Yadadri Bhuvanagiri,March,15.76,31.4,30.0,2015
Nagarkurnool,May,32.4,42.1,34.0,2019
Mulugu,March,12.75,23.3,68.0,2024
Vikarabad,October,92.51,15.5,87.0,2020
Yadadri Bhuvanagiri,July,195.11,32.9,23.0,2023
Mulugu,October,91.84,24.9,38.0,2021
Khammam,May,28.19,37.2,77.0,2025
Suryapet,May,29.42,27.5,65.0,2017
Kamareddy,August,191.78,27.0,75.0,2022
Hanamkonda,July,192.81,23.6,72.0,2019
Sangareddy,March,12.1,36.1,53.0,2015
Wanaparthy,December,5.14,29.6,67.0,2019
Suryapet,October,94.3,25.6,79.0,2024
Peddapalli,February,7.19,20.8,25.0,2022
Mahabubnagar,August,194.55,19.8,63.0,2019
Rangareddy,November,18.54,38.4,61.0,2022
Rangareddy,March,13.5,41.7,43.0,2025
Mahabubnagar,October,91.25,44.0,61.0,2022
Jogulamba Gadwal,April,19.9,15.4,20.0,2025
Kumurambheem Asifabad,June,114.5,44.7,40.0,2015
Kumurambheem Asifabad,September,137.2,43.5,24.0,2019
Jagtial,June,119.47,25.3,59.0,2025
Nizamabad,March,13.45,35.9,30.0,2023
Adilabad,April,16.58,41.3,43.0,2021
Siddipet,April,18.46,32.0,62.0,2018
Vikarabad,February,7.73,22.5,31.0,2025
Khammam,February,5.61,29.4,38.0,2017
Mahabubnagar,February,6.91,21.8,23.0,2016
Nalgonda,March,14.21,28.4,35.0,2019
Medak,February,5.62,39.1,23.0,2025
Mancherial,October,93.39,15.1,94.0,2022
Hanamkonda,October,93.09,19.4,29.0,2023
Kamareddy,June,119.05,26.4,74.0,2015
Hyderabad,March,13.59,39.1,76.0,2024
Kumurambheem Asifabad,March,14.65,31.4,99.0,2023
Kamareddy,May,33.42,39.1,88.0,2023
Jogulamba Gadwal,January,11.83,27.7,27.0,2021
Nalgonda,November,15.87,16.2,47.0,2024
Hyderabad,March,12.91,20.6,38.0,2025
Mancherial,March,12.39,21.3,24.0,2021
Nalgonda,May,29.3,23.2,30.0,2021
Medak,February,5.12,33.5,33.0,2017
Adilabad,December,9.05,26.1,63.0,2024
Adilabad,November,14.73,42.7,38.0,2025
Hyderabad,May,30.33,24.6,78.0,2024
Mahabubnagar,April,18.83,41.1,72.0,2022
Rajanna Sircilla,May,30.8,39.3,85.0,2017
Karimnagar,December,3.87,21.2,65.0,2019
Vikarabad,September,138.8,38.9,98.0,2023
Nizamabad,October,89.02,37.1,99.0,2023
Nagarkurnool,March,13.32,22.9,78.0,2017
Jogulamba Gadwal,April,13.9,39.5,93.0,2021
Medak,November,17.38,30.0,75.0,2016
Mancherial,March,11.89,43.2,31.0,2017
Hanamkonda,September,139.2,28.6,68.0,2024
Hyderabad,July,190.85,23.3,92.0,2024
Sangareddy,February,4.51,40.6,86.0,2024
Peddapalli,March,14.18,33.3,41.0,2022
Jagtial,May,29.38,35.0,81.0,2020
Hyderabad,February,6.66,39.1,53.0,2021
Mahabubnagar,August,190.21,28.4,72.0,2025
Kumurambheem Asifabad,June,117.21,39.8,86.0,2019
Nagarkurnool,May,29.41,16.8,34.0,2018
Hyderabad,November,20.63,18.6,31.0,2017
Karimnagar,November,17.57,28.4,43.0,2018
Vikarabad,January,8.45,32.7,96.0,2017
Mahabubnagar,January,9.67,26.5,65.0,2015
Medak,September,138.35,32.8,38.0,2017
Yadadri Bhuvanagiri,July,190.48,27.9,45.0,2021
Mahabubabad,July,189.81,26.0,91.0,2019
Kamareddy,March,13.1,16.0,47.0,2023
Sangareddy,March,13.83,22.6,39.0,2019
Nirmal,June,122.75,29.5,35.0,2020
Wanaparthy,September,137.62,41.1,100.0,2021
Mahabubabad,April,19.59,24.9,52.0,2017
Mulugu,April,20.31,29.2,48.0,2022
Sangareddy,December,8.14,22.9,32.0,2021
Mahabubnagar,August,189.39,38.5,86.0,2016
Khammam,January,10.17,37.9,59.0,2019
Nizamabad,April,18.93,35.1,52.0,2023
Nalgonda,September,136.22,19.0,58.0,2015
Wanaparthy,July,192.7,36.7,42.0,2023
Peddapalli,January,11.69,26.2,98.0,2022
Nizamabad,December,4.02,33.2,58.0,2023
Hanamkonda,October,91.75,33.5,96.0,2018
Nizamabad,October,87.36,40.7,21.0,2017
Siddipet,August,190.77,19.3,86.0,2018
Karimnagar,August,188.64,28.7,86.0,2016
Mahabubnagar,September,137.99,19.5,81.0,2025
Medak,May,32.94,40.6,43.0,2024
Karimnagar,December,3.46,17.2,45.0,2021
Mahabubabad,July,194.4,34.0,100.0,2022
Karimnagar,February,5.7,27.7,69.0,2021
Suryapet,August,190.48,30.4,86.0,2019
Khammam,September,135.54,15.1,24.0,2016
Jogulamba Gadwal,February,5.74,36.3,80.0,2020
Sangareddy,December,3.63,16.7,48.0,2016
Kumurambheem Asifabad,February,5.72,40.2,24.0,2018
Khammam,January,8.56,22.0,88.0,2019
Rangareddy,February,9.51,32.8,81.0,2024
Jogulamba Gadwal,March,15.02,37.2,66.0,2019
Nizamabad,October,92.03,20.8,73.0,2024
Mahabubabad,November,14.52,20.2,51.0,2020
Nirmal,September,138.08,30.2,67.0,2021
Rajanna Sircilla,December,7.54,16.4,72.0,2018
Karimnagar,November,18.66,26.1,38.0,2024
Wanaparthy,August,188.75,30.7,66.0,2015
Wanaparthy,September,140.01,41.7,56.0,2024
Khammam,March,16.5,32.2,43.0,2025
Jagtial,September,136.88,40.7,94.0,2020
Sangareddy,June,116.4,26.5,34.0,2025
Khammam,June,119.24,33.3,82.0,2016
Sangareddy,April,18.54,26.4,62.0,2020
Rajanna Sircilla,January,11.68,44.4,30.0,2017
Adilabad,December,2.48,18.4,48.0,2021
Vikarabad,August,190.64,15.8,37.0,2015
Suryapet,October,93.47,19.8,61.0,2021
Jagtial,June,120.2,28.1,85.0,2019
Suryapet,August,192.14,41.6,86.0,2019
Nalgonda,February,7.27,43.0,72.0,2023
Wanaparthy,March,10.64,29.7,29.0,2016
Rangareddy,April,16.08,44.4,23.0,2022
Nizamabad,October,94.11,26.9,94.0,2015
Kumurambheem Asifabad,September,135.86,42.2,45.0,2024
Mahabubabad,August,188.14,21.6,40.0,2025
Siddipet,August,191.85,31.1,35.0,2023
Nalgonda,June,118.0,36.4,76.0,2023
Rajanna Sircilla,September,133.51,21.5,88.0,2015
Vikarabad,January,7.7,34.1,43.0,2021
Khammam,January,9.11,44.6,57.0,2018
Karimnagar,October,95.79,38.3,42.0,2025
Medak,April,20.82,41.7,90.0,2022
Hyderabad,October,93.33,30.8,21.0,2015
Wanaparthy,May,31.17,29.4,29.0,2022
Sangareddy,April,20.39,32.1,84.0,2025
Hyderabad,March,14.13,34.1,68.0,2022
Mulugu,January,9.22,15.5,79.0,2020
Vikarabad,September,136.85,21.4,81.0,2015
Mancherial,January,9.61,23.5,78.0,2024
Peddapalli,April,20.07,30.4,91.0,2023
Medak,March,16.35,36.8,66.0,2024
Sangareddy,November,16.83,41.1,29.0,2023
Medak,August,191.18,41.5,95.0,2018
Yadadri Bhuvanagiri,July,191.51,16.8,52.0,2017
Khammam,June,117.56,33.4,35.0,2024
Rajanna Sircilla,March,15.38,29.5,63.0,2020
Mahabubabad,January,11.97,15.2,64.0,2025
Nirmal,March,11.63,17.3,92.0,2015
Suryapet,September,136.67,26.2,74.0,2020
Suryapet,January,6.15,19.3,56.0,2022
Nirmal,December,2.52,43.3,27.0,2015
Hyderabad,August,189.61,21.3,35.0,2018
Hanamkonda,September,137.88,28.0,90.0,2017
Rajanna Sircilla,January,10.71,31.1,24.0,2025
Wanaparthy,December,6.07,38.2,75.0,2017
Yadadri Bhuvanagiri,March,16.03,43.6,33.0,2025
Peddapalli,July,191.84,21.8,70.0,2018
Mahabubabad,June,119.18,31.8,100.0,2021
Vikarabad,May,31.34,16.2,47.0,2022
Vikarabad,January,10.74,31.8,83.0,2016
Kamareddy,March,12.67,30.0,71.0,2022
Nizamabad,December,4.93,28.8,71.0,2024
Hyderabad,June,116.21,18.8,26.0,2019
Mahabubabad,October,92.92,34.6,39.0,2020
Sangareddy,January,10.4,42.1,28.0,2021
Wanaparthy,October,93.25,42.4,60.0,2025
Kamareddy,December,5.87,20.0,44.0,2024
Mahabubnagar,June,123.68,36.6,64.0,2023
Nagarkurnool,June,119.52,24.7,81.0,2025
Mahabubabad,July,190.53,36.7,78.0,2019
Peddapalli,June,118.11,39.8,43.0,2024
Jagtial,November,16.73,39.6,30.0,2015
Siddipet,April,18.83,34.4,59.0,2017
Mancherial,March,15.15,31.1,62.0,2020
Nalgonda,April,20.77,24.2,85.0,2022
Hanamkonda,February,7.32,44.3,45.0,2025
Yadadri Bhuvanagiri,September,137.03,22.9,53.0,2025
Mahabubnagar,February,10.01,39.9,23.0,2016
Hanamkonda,October,91.51,20.3,33.0,2017
Nirmal,July,189.01,27.8,79.0,2020
Sangareddy,March,12.34,16.9,30.0,2017
Suryapet,November,15.99,36.8,71.0,2021
Hanamkonda,May,26.77,29.2,37.0,2018
Nizamabad,November,17.3,22.5,59.0,2023
Suryapet,October,97.49,27.3,47.0,2016
Sangareddy,August,191.57,19.0,62.0,2017
Mancherial,March,13.66,21.5,70.0,2016
Vikarabad,May,31.27,22.4,94.0,2020
Nizamabad,February,5.96,25.2,62.0,2018
Kamareddy,February,6.67,43.9,66.0,2018
Adilabad,November,19.62,41.1,50.0,2023
Hanamkonda,May,29.94,18.2,56.0,2022
Mulugu,December,5.36,30.7,37.0,2020
Wanaparthy,February,1.99,39.6,49.0,2022
Kamareddy,May,31.35,23.1,37.0,2018
Karimnagar,January,9.5,26.0,47.0,2024
Nalgonda,December,6.8,41.1,92.0,2017
Mahabubnagar,May,27.37,34.7,57.0,2017
Mancherial,October,91.06,42.8,68.0,2022
Mahabubnagar,June,120.55,41.8,49.0,2021
Hyderabad,February,4.25,15.7,51.0,2020
Mahabubnagar,January,10.68,27.2,30.0,2017
Kumurambheem Asifabad,May,28.86,36.3,36.0,2022
Nirmal,April,17.55,21.8,50.0,2025
Rangareddy,February,9.92,36.5,46.0,2021
Mancherial,June,118.62,35.1,55.0,2022
Suryapet,March,14.86,19.4,91.0,2016
Jogulamba Gadwal,August,190.79,20.7,27.0,2022
Kamareddy,May,35.28,22.1,32.0,2025
Nalgonda,October,92.24,37.5,73.0,2019
Mancherial,June,116.95,39.1,98.0,2025
Suryapet,November,20.58,44.5,31.0,2021
Kamareddy,March,13.04,30.2,58.0,2015
Kumurambheem Asifabad,September,139.37,40.7,65.0,2016
Hanamkonda,August,190.77,20.4,41.0,2021
Khammam,January,9.04,25.0,25.0,2021
Kumurambheem Asifabad,November,17.76,19.2,62.0,2020
Nagarkurnool,September,138.32,36.9,97.0,2021
Jagtial,February,4.63,25.5,87.0,2022
Siddipet,November,18.15,40.3,77.0,2025
Vikarabad,April,21.65,39.3,91.0,2025
Yadadri Bhuvanagiri,August,192.55,44.7,61.0,2016
Jagtial,November,16.63,40.0,61.0,2018
Kamareddy,July,192.24,20.6,33.0,2016
Suryapet,July,194.86,29.5,72.0,2021
Hanamkonda,June,117.39,15.2,95.0,2024
Karimnagar,November,19.98,37.6,66.0,2022
Khammam,November,17.36,35.1,97.0,2016
Adilabad,December,8.35,27.8,96.0,2019
Rangareddy,October,89.22,31.1,85.0,2022
Yadadri Bhuvanagiri,September,140.32,32.0,62.0,2023
Adilabad,May,30.98,28.2,57.0,2019
Mancherial,January,8.85,39.6,90.0,2020
Yadadri Bhuvanagiri,January,8.71,43.5,24.0,2017
Mahabubnagar,November,16.9,43.7,28.0,2023
Sangareddy,June,120.48,34.3,37.0,2024
Jagtial,June,120.39,26.7,20.0,2017
Yadadri Bhuvanagiri,March,15.14,16.2,70.0,2022
Nagarkurnool,September,140.47,28.9,67.0,2015
Khammam,November,17.68,20.7,26.0,2016
Rajanna Sircilla,February,5.99,30.8,53.0,2023
Nizamabad,November,18.51,27.9,22.0,2022
Medak,May,27.77,25.9,22.0,2017
Siddipet,April,21.45,40.9,36.0,2016
Sangareddy,January,10.94,18.1,93.0,2018
Jogulamba Gadwal,August,190.68,36.9,89.0,2018
Jagtial,February,7.35,40.8,21.0,2016
Wanaparthy,June,121.28,25.1,50.0,2016
Mancherial,January,11.63,24.4,21.0,2022
Jagtial,December,5.66,39.3,46.0,2024
Mahabubabad,May,26.79,33.5,68.0,2021
Yadadri Bhuvanagiri,December,3.77,30.2,50.0,2023
Siddipet,October,92.53,36.0,78.0,2015
Nalgonda,December,4.7,33.2,72.0,2024
Siddipet,June,120.82,44.4,49.0,2024
Jogulamba Gadwal,June,120.99,38.1,72.0,2017
Medak,August,189.57,19.8,94.0,2018
Vikarabad,March,12.88,20.1,44.0,2024
Siddipet,January,8.57,18.1,38.0,2019
Yadadri Bhuvanagiri,March,16.76,40.8,70.0,2017
Mulugu,July,189.69,29.2,24.0,2021
